pre,value
1946,341
1948,341
1951,336
1952,331
1967,324
1953,324
1954,322
1963,318
1949,316
1958,315
1947,314
1969,314
1950,313
1960,312
1961,311
1965,307
1968,305
1964,304
1970,300
1959,285
1957,285
1956,275
1962,270
1955,264
1966,257
1971,248
1943,233
1945,227
1942,223
1944,217
1972,213
1974,188
1973,181
1975,161
1941,158
1940,155
1939,148
1976,144
1977,136
1938,131
1979,125
1978,123
1980,100
1937,96
1935,90
1936,85
1934,80
1982,70
1932,68
1933,67
1930,66
1981,55
1931,53
1983,51
1986,40
1929,37
1927,36
1988,36
1928,35
1984,33
1926,28
1990,25
1987,24
1994,24
1925,23
1991,21
1993,20
1992,18
1985,18
1989,16
1924,15
1922,15
1996,13
1921,12
1995,11
1923,9
1997,8
1918,7
1920,4
1916,2
1917,2
1919,1
1915,1
