pre,value
KENILWORTH,652
ELMWOOD,583
GROVE,581
HARVEY,558
TAYLOR,542
LOMBARD,532
HUMPHREY,512
EUCLID,491
OAK PARK,459
EAST,456
RIDGELAND,382
SCOVILLE,380
CUYLER,364
WESLEY,309
CLINTON,300
CLARENCE,262
WASHINGTON,254
MARION,253
HOME,239
ONTARIO,230
GUNDERSON,227
LINDEN,220
MAPLE,215
FOREST,208
WISCONSIN,202
HIGHLAND,198
WOODBINE,193
WENONAH,180
LYMAN,168
PLEASANT,167
BELLEFORTE,165
AUSTIN,163
LAKE,153
FAIR OAKS,137
HAYES,120
HARLEM,103
COLUMBIAN,102
MAPLETON,70
ERIE,53
CARPENTER,52
LE MOYNE,50
NORTH,44
ROSSELL,43
HARRISON,43
CHICAGO,40
AUGUSTA,39
IOWA,37
RANDOLPH,33
MADISON,32
EDMER,31
SOUTH,30
GARFIELD,22
FRANK LLOYD WRIGHT,19
SUPERIOR,18
LENOX,18
BERKSHIRE,15
DIVISION,15
FRANCISCO,15
THOMAS,14
HOLLY,13
GREENFIELD,13
PAULINA,11
ELIZABETH,10
BALDWIN,9
ADAMS,9
BISHOP QUARTER,9
MILLER,8
LINCOLN,7
VAN BUREN,5
ALEXANDER,4
JACKSON,4
SCHNEIDER,4
FLOURNOY,4
LEXINGTON,3
ROOSEVELT,3
HARVARD,1
WESTGATE,1
FILLMORE,1
