,created_at,full_text,party,screen_name
0,Mon Dec 24 18:47:27 +0000 2018,And Episode 2 covers immigration just in time for the #TrumpShutdown https://t.co/mZCbfSvHmS,democrats,RepDarrenSoto
1,Sun Dec 23 19:26:48 +0000 2018,"ICYMI here’s Pres Trump taking credit for #TrumpShutdown over his unnecessary, medieval wall https://t.co/INEqf3miZs #sayfie @HispanicCaucus @HispanicFed @latinojustice",democrats,RepDarrenSoto
2,Sun Dec 23 16:32:07 +0000 2018,.@Telemundo31 covers our “Rock and Politics” show! This program combines my 2 passions and continues our efforts to expand civic outreach to our constituents. https://t.co/bRSpsKw8rF,democrats,RepDarrenSoto
3,Sat Dec 22 15:43:15 +0000 2018,"Just in time for #TrumpShutdown here’s Ep. 2 of my “Rock and Politics” Show on Immigration! Features songs by Coldplay, Springsteen, Rise Against and more... https://t.co/NCRCvOhvmh",democrats,RepDarrenSoto
4,Sat Dec 22 04:07:37 +0000 2018,RT @feedhopenow: The ink on the Farm Bill was still wet and @RepDarrenSoto and staff from @RepValDemings's  office stopped by the warehouse…,democrats,RepDarrenSoto
5,Fri Dec 21 18:58:20 +0000 2018,RT @digitalassetbuy: Hi @WarrenDavidson and @RepDarrenSoto  Thanks so much for your crypto bill.  You are helping to change the world.   We…,democrats,RepDarrenSoto
6,Fri Dec 21 16:09:43 +0000 2018,"If #TrumpShutdown occurs, then 10,516 Floridians will be out of work right before Christmas! If GOP Congress didn’t fund the wall after 2 yrs in charge, they won’t now. So why hurt these Fla families? ⁦@HispanicCaucus⁩ ⁦@USProgressives⁩  https://t.co/sGgNAT42Wa",democrats,RepDarrenSoto
7,Fri Dec 21 16:02:53 +0000 2018,"Trump’s impulsive, ill-planned #SyriaWithdrawal and resulting #MattisResignation puts our Middle East foreign policy in a tailspin and America in greater danger. ⁦@HouseNewDems⁩ ⁦@HispanicCaucus⁩ ⁦@HouseDemocrats⁩  https://t.co/LfPRpUt5jP",democrats,RepDarrenSoto
8,Fri Dec 21 16:01:15 +0000 2018,America’s criminal justice system is in desperate need of repair! The bipartisan First Step Act is the positive step we need to begin to ensure a more fair justice system for all Americans  ⚖️ #CriminalJusticeReform #cjreform @HouseJudDems,democrats,RepDarrenSoto
9,Fri Dec 21 15:34:33 +0000 2018,"RT @NormaJTorres: As we mourn the death of #JakelinCaal, we must demand changes to our immigration policies. Joined @RepTedLieu &amp; 54 of our…",democrats,RepDarrenSoto
10,Fri Dec 21 03:58:02 +0000 2018,"RT @DigitalChamber: Congressional #Blockchain Caucus members @WarrenDavidson @RepDarrenSoto introduce Token Taxonomy Act to carve out ""Digi…",democrats,RepDarrenSoto
11,Thu Dec 20 21:49:18 +0000 2018,RT @rleshner: Major kudos to reps @WarrenDavidson and @RepDarrenSoto for advancing the Token Taxonomy Act of 2018 -- it provides regulatory…,democrats,RepDarrenSoto
12,Thu Dec 20 21:48:55 +0000 2018,"RT @BlockchainAssn: Why @BlockchainAssn supports new legislation from @WarrenDavidson and @RepDarrenSoto 
https://t.co/jpYngHPDaY",democrats,RepDarrenSoto
13,Thu Dec 20 21:48:50 +0000 2018,RT @BlockchainAssn: Thanks @WarrenDavidson and @RepDarrenSoto for your pro-innovation leadership! This bill provides much needed regulatory…,democrats,RepDarrenSoto
14,Thu Dec 20 17:27:55 +0000 2018,Restoration of Rights Amendment is clear on its face. On Jan 8 it’s time to let people register to vote! Thanks to @OCFElections⁩ ⁦@VoteOsceola⁩ ⁦@PolkElections1⁩ for doing the right thing! ⁦⁦@FLRightsRestore⁩  https://t.co/fCKBzK4H0a,democrats,RepDarrenSoto
15,Wed Dec 19 15:26:41 +0000 2018,Time for @USFWS to do the right thing and protect Florida’s iconic #sandhillcrane @audubonsociety @LCVoters @EDFaction @SierraClub @FCVoters @latinovictoryus @HispanicCaucus @AudubonFL https://t.co/6LVgoU3HM0,democrats,RepDarrenSoto
16,Wed Dec 19 14:05:45 +0000 2018,Proud to be at @CityofLakeWales to honor Mayor @g_fultz for his service in Vietnam! https://t.co/BQy1YwVkiX,democrats,RepDarrenSoto
17,Wed Dec 19 00:45:44 +0000 2018,RT @CityofLakeWales: @RepDarrenSoto presents a pin to Mayor Fultz @g_fultz in honor of his military service in Vietnam,democrats,RepDarrenSoto
18,Wed Dec 19 00:45:42 +0000 2018,RT @CityofLakeWales: @RepDarrenSoto reported on trips to the Middle East including Iraq. There are many Central Florida residents in servic…,democrats,RepDarrenSoto
19,Tue Dec 18 16:21:02 +0000 2018,Great sign of progress for #smartjustice movement as new justice reform bill garners strong bipartisan vote in Senate! ⁦⁦@HouseNewDems⁩ ⁦@HispanicCaucus⁩ ⁦@HouseDemocrats⁩  https://t.co/M4kaQO8gJz,democrats,RepDarrenSoto
20,Mon Dec 17 20:03:37 +0000 2018,Just a reminder: 1) Republican Attorney Generals across the nation are suing to take away your healthcare; and 2) we Democrats are fighting to protect it! #ProtectOurCare #AffordableCareAct  https://t.co/4LWfaG1DMa,democrats,RepDarrenSoto
21,Sun Dec 16 18:09:55 +0000 2018,Proud to recognize over a dozen Vietnam Veterans from the Celebration Veterans Club with US 50th Anniversary Pin! https://t.co/DrulusO7n4,democrats,RepDarrenSoto
