,created_at,full_text,party,screen_name
0,Fri Dec 07 21:57:31 +0000 2018,RT @CongressionalAC: Navigator app for the visually impaired wins 2018 Congressional App Challenge in #Virginia’s 10th Congressional Distri…,republicans,RepComstock
1,Mon Dec 03 03:33:14 +0000 2018,RT @JebBush: Sully has the watch. https://t.co/olnBtN4WgE,republicans,RepComstock
2,Sat Dec 01 19:22:43 +0000 2018,RT @SpeakerRyan: The late President George H.W. Bush will lie in state in the U.S. Capitol Rotunda beginning with an arrival ceremony on Mo…,republicans,RepComstock
3,Sat Dec 01 19:18:43 +0000 2018,"We are all saddened to hear of the passing of President George H.W. Bush...history will remember this humble, decent, and courageous man well. #VA10 https://t.co/tU85Up2rgA",republicans,RepComstock
4,Sun Nov 25 15:06:41 +0000 2018,"Praying for the family, friends, and colleagues of Winchester Police Officer Hunter Edwards who died while serving the citizens of Winchester last night.  Officer Edwards was a four year member of the Winchester Police Department and he is survived by his wife Tara and stepson.",republicans,RepComstock
5,Sat Nov 24 17:22:07 +0000 2018,Our small businesses are the backbone of our local communities and drive our economy from the ground up. Today we recognize the hard work and sacrifices that go into building small businesses and the small business owners who are dedicated to serving their neighbors. #VA10 https://t.co/uWwXjGdRG9,republicans,RepComstock
6,Wed Nov 14 19:20:21 +0000 2018,"providing respite services for so many other children.  Sarah and Robert are great parents supporting their 7 children, which include 3 children they have adopted, as well as helping other adoptive parents. #VA10 https://t.co/K949jq8k8j",republicans,RepComstock
7,Wed Nov 14 19:20:21 +0000 2018,"November is #NationalAdoptionMonth and we honor those who have committed to being loving parents to children in need of a family.  This year we honored constituents Sarah and Robert Wilkinson as our Angels in Adoption for serving as foster parents for 9 children, as well as...",republicans,RepComstock
8,Sun Nov 11 13:50:09 +0000 2018,Today we honor all of our veterans who have sacrificed for our freedoms. https://t.co/NrroJxBKLc,republicans,RepComstock
9,Sat Nov 10 15:35:55 +0000 2018,https://t.co/VE0di9mVh9,republicans,RepComstock
10,Sun Nov 04 15:25:29 +0000 2018,"Honored to join John and Shirley Dominick, co-founders of Serve Our Willing Warriors @SOWW_va We were blessed to hear from CSM Gretchen Evans, USA(ret) and her inspiring and harrowing story of her service and the incredible role that SOWW plays with warriors like CSM Evans. #VA10 https://t.co/ftYJSlKRjq",republicans,RepComstock
11,Sat Nov 03 18:24:15 +0000 2018,Enjoyed visiting with our veterans at American Legion Post 10 in Manassas today. Carol and Gary Hilton met at the Legion Post and got married here last year!  We honor all who serve. #VA10 https://t.co/LSVzLSegwC,republicans,RepComstock
12,Sat Nov 03 18:09:51 +0000 2018,...for the 10th Annual Veterans Day Parade honoring the American Legion's 100th Anniversary. #VA10 https://t.co/ogE9VtF8VE,republicans,RepComstock
